outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct,target_family,horizon_sessions,train_observations,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LAMBDAMART,K_SENSITIVITY,10,0,0,1000000,0.1,VOL_SCALED,40,715,1.8552085482420422,3.3440315346102842,5.347012126179646,-0.12879709662045347,-0.07434619706223566,180,1.1188350861464116,4.475340344585646,42,42,0,1.0,0.0,6.580505072378569e-17,10.0,0,0.0002966622719898917,0.0035403501889608824,0.014622132389291487,0.015194151826278217,0.0
O1,LAMBDAMART,K_SENSITIVITY,10,30,0,1000000,0.1,VOL_SCALED,40,715,1.8107824374635215,3.2496985411020374,5.291848860055095,-0.12855195009623388,-0.07412254346202296,180,1.1143422175716247,4.457368870286499,42,42,0,1.0,8443.937067998915,0.002171243711685738,10.0,0,0.00029397505370037404,0.003490053784065366,0.014520564200642417,0.015102986915320547,0.0
O1,LAMBDAMART,K_SENSITIVITY,10,50,0,1000000,0.1,VOL_SCALED,40,715,1.781573449456761,3.1880006962042486,5.253332972861535,-0.12838500799451047,-0.07397121399350659,180,1.1114345507220553,4.445738202888221,42,42,0,1.0,13939.495698844406,0.0036430419122975557,10.0,0,0.0002921950106968226,0.003456889078159179,0.014384217928323768,0.015042210308015435,0.0
O1,LAMBDAMART,K_SENSITIVITY,10,100,0,1000000,0.1,VOL_SCALED,40,715,1.7099231876691992,3.037753232230182,5.151167116694022,-0.12795643333164786,-0.07358507109501666,180,1.1045619517342826,4.4182478069371305,42,42,0,1.0,27220.295989058042,0.007403355680071093,10.0,0,0.00028778349940682943,0.003375213348522917,0.01404838899410425,0.014890268789752652,0.0
O1,LAMBDAMART,K_SENSITIVITY,15,0,0,1000000,0.1,VOL_SCALED,40,715,1.7130630347765825,3.0443044182744634,5.399778871860136,-0.09425521628055489,-0.082338228978861,180,0.9887541130702566,3.9550164522810265,60,59,1,0.9833333333333333,0.0,0.019743033517878938,14.662983425414364,0,0.00013616112251815143,0.002991819210259588,0.006150206245598947,0.010129434550852145,0.0
O1,LAMBDAMART,K_SENSITIVITY,15,30,0,1000000,0.1,VOL_SCALED,40,715,1.7505198754465154,3.122690215500647,5.253873289185298,-0.11587598793025267,-0.08209068388492957,180,1.013026982446941,4.052107929787764,60,60,0,1.0,8260.645511141214,0.002525721110712189,15.0,0,0.0001345494325843832,0.0029543309057128123,0.006089680145947498,0.010068657943547032,0.0
O1,LAMBDAMART,K_SENSITIVITY,15,50,0,1000000,0.1,VOL_SCALED,40,715,1.7236648838539317,3.0664472229240562,5.21955782706761,-0.1156911803296925,-0.0819231883347803,180,1.0102602729031462,4.041041091612585,60,60,0,1.0,13643.042476187844,0.004233166971871082,15.0,0,0.0001334842512147973,0.002929578035312574,0.006049574028516316,0.010028140205343624,0.0
O1,LAMBDAMART,K_SENSITIVITY,15,100,0,1000000,0.1,VOL_SCALED,40,715,1.6577604751022084,2.9293632039326316,5.1291036410386965,-0.11522081892759062,-0.08149579304149401,180,1.0035023487005381,4.0140093948021525,60,60,0,1.0,26671.34534672673,0.008582985260837192,15.0,0,0.00013085301608685475,0.002868509017796827,0.005950158797244939,0.009926845859835103,0.0
O1,LAMBDAMART,K_SENSITIVITY,20,0,0,1000000,0.1,VOL_SCALED,40,715,1.9429397278777603,3.5320418837538305,5.966540330708843,-0.08667391965061666,-0.08667391965061666,180,0.9576028236020798,3.8304112944083193,78,76,2,0.9743589743589743,0.0,0.01486482026618649,19.662983425414364,0,0.00013307273981578952,0.0019186339369871971,0.0035947114168361,0.012387795358851062,0.0
O1,LAMBDAMART,K_SENSITIVITY,20,30,0,1000000,0.1,VOL_SCALED,40,715,1.9593409889376878,3.5674417066308974,5.835942609218335,-0.09312292414369905,-0.08641287444458712,180,0.9750768994254432,3.9003075977017727,78,78,0,1.0,8892.934682719422,0.0026432462121299804,20.0,0,0.0001320907287268047,0.001898146848984588,0.0035594212308736927,0.012266181256581103,0.0
