outer_fold,inner_year,candidate,family,target_family,horizon_sessions,candidate_coverage,coverage_loss,baseline_rank_ic_mean,baseline_rank_ic_median,baseline_rank_ic_std,baseline_positive_ic_ratio,baseline_icir,baseline_ndcg,baseline_spread,baseline_signal_dates,candidate_rank_ic_mean,candidate_rank_ic_median,candidate_rank_ic_std,candidate_positive_ic_ratio,candidate_icir,candidate_ndcg,candidate_spread,candidate_signal_dates,delta_rank_ic,delta_median_ic,delta_ndcg
O2,2022,downside_vol_126,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.013072914021318152,0.002880184331797235,0.06666334946322205,0.6666666666666666,0.19610346804626783,0.6462571091073787,0.12551107430485878,3,-0.011721819382325438,-0.017713133640552995,-0.0018806797392896257
O2,2021,max_drawdown_63,RISK,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.18067981846809303,0.2756321200333427,0.2413900033261069,0.6666666666666666,0.7484975184494398,0.5725845366884554,0.05453695219662663,3,-0.04006668519033063,-0.017893859405390344,-0.005729240989609363
O2,2022,max_drawdown_63,RISK,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.005957805028335372,0.015024961597542243,0.06683526971445489,0.6666666666666666,0.08914163216202059,0.6493550756938791,0.12235163597618177,3,-0.018836928375308218,-0.0055683563748079885,0.0012172868472107856
O2,2021,log_adv20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.050940075947022344,-0.007613225896082246,0.22071375334337406,0.3333333333333333,0.2307970172922239,0.49482265376739615,-0.004676377322640632,3,-0.1698064277114013,-0.3011392053348153,-0.08349112391066865
O2,2022,log_adv20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.08773137952070943,-0.010848694316436253,0.24215062277792987,0.3333333333333333,0.3623008626377378,0.5061216579104766,0.07041223303846432,3,0.06293664611706584,-0.031442012288786486,-0.1420161309361917
O2,2021,log_adv63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.046309159951838465,0.016226729647124204,0.25175448680345813,0.6666666666666666,0.1839457184649563,0.5072505430111299,-0.002736679671855452,3,-0.1744373437065852,-0.27729924979160886,-0.07106323466693487
O2,2022,log_adv63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.06271367658166409,-0.028225806451612906,0.26322546534763586,0.3333333333333333,0.23825079575351713,0.512409766962911,0.09001082579556989,3,0.0379189431780205,-0.048819124423963134,-0.13572802188375732
O2,2021,log_amihud20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.015837732703528784,-0.07107529869408169,0.23420818304570076,0.3333333333333333,0.06762245664336325,0.4440218975012047,-0.04393209545967174,3,-0.20490877095489488,-0.36460127813281473,-0.1342918801768601
O2,2022,log_amihud20,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.04221641810527386,-0.07762096774193548,0.24460929837165202,0.3333333333333333,0.17258713542905266,0.5058662114613393,0.035503580578671395,3,0.017421684701630268,-0.09821428571428571,-0.14227157738532903
O2,2021,log_amihud63,LIQUIDITY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.017967954061313313,-0.06496248958043903,0.24911583990562255,0.3333333333333333,0.07212690316328527,0.441736897220667,-0.026484142954891893,3,-0.20277854959711034,-0.3584884690191721,-0.1365768804573978
