date,equity_before_terminal_liquidation,equity,positions,terminal_liquidation_cost
2023-08-08,11.739367971018678,11.739367971018678,66,
2023-08-09,12.036097555425664,12.036097555425664,66,
2023-08-10,11.785379962941665,11.785379962941665,66,
2023-08-11,12.258314075041332,12.258314075041332,66,
2023-08-14,12.338298199263042,12.338298199263042,66,
2023-08-15,12.279418671251095,12.279418671251095,66,
2023-08-16,12.299374983479568,12.299374983479568,66,
2023-08-17,12.46071087688907,12.46071087688907,66,
2023-08-18,12.090598995358787,12.090598995358787,67,
2023-08-21,12.626303301383848,12.626303301383848,67,
2023-08-22,12.712304325739627,12.712304325739627,67,
2023-08-23,12.548764824327137,12.548764824327137,67,
2023-08-24,12.363100235502607,12.363100235502607,67,
2023-08-25,12.686635112809782,12.686635112809782,67,
2023-08-28,12.958091472175832,12.958091472175832,67,
2023-08-29,12.987466462772238,12.987466462772238,67,
2023-08-31,13.136349649439547,13.136349649439547,67,
2023-09-01,13.408369632721032,13.408369632721032,67,
2023-09-04,13.566130794632604,13.566130794632604,67,
2023-09-05,13.741420232457386,13.741420232457386,67,
2023-09-06,13.698456679061191,13.698456679061191,67,
2023-09-07,14.068271021733581,14.068271021733581,67,
2023-09-08,14.097450259672916,14.097450259672916,67,
2023-09-11,13.866434232086807,13.866434232086807,67,
2023-09-12,13.971899727426566,13.971899727426566,67,
2023-09-13,13.7147478281003,13.7147478281003,67,
2023-09-14,13.8001955070481,13.8001955070481,67,
2023-09-15,13.66297336994115,13.66297336994115,67,
2023-09-18,13.229867835940775,13.229867835940775,67,
2023-09-19,13.426770171437235,13.426770171437235,67,
2023-09-20,13.401822144145902,13.401822144145902,67,
2023-09-21,13.89383413043305,13.89383413043305,67,
2023-09-22,14.090043062002572,14.090043062002572,67,
2023-09-25,14.661619285620041,14.661619285620041,67,
2023-09-26,14.600236247480781,14.600236247480781,67,
2023-09-27,14.64576483837573,14.64576483837573,67,
2023-09-28,14.546228046198662,14.546228046198662,67,
2023-09-29,14.631397610515776,14.631397610515776,67,
2023-10-02,14.948604337589233,14.948604337589233,67,
2023-10-03,15.110239657837106,15.110239657837106,67,
2023-10-04,14.836783781068373,14.836783781068373,67,
2023-10-05,15.151166189436422,15.151166189436422,67,
2023-10-06,15.204398539631049,15.204398539631049,67,
2023-10-09,14.677947622061149,14.677947622061149,67,
2023-10-10,15.275931047234405,15.275931047234405,67,
2023-10-11,15.089979896186744,15.089979896186744,67,
2023-10-12,14.975743167126193,14.975743167126193,67,
2023-10-13,14.686754893989932,14.686754893989932,67,
2023-10-16,14.216513592179822,14.216513592179822,67,
2023-10-17,14.664964718926758,14.664964718926758,67,
2023-10-18,14.225965273514522,14.225965273514522,67,
2023-10-19,14.23936649411662,14.23936649411662,67,
2023-10-20,13.76369889826219,13.76369889826219,67,
2023-10-23,14.197271370363367,14.197271370363367,67,
2023-10-24,14.652690666733012,14.652690666733012,67,
2023-10-25,13.594961812891484,13.594961812891484,67,
2023-10-26,14.078049701844629,14.078049701844629,67,
2023-10-27,14.160389379125371,14.160389379125371,67,
2023-10-30,14.264070601658997,14.264070601658997,67,
2023-10-31,13.826253909515147,13.826253909515147,67,
2023-11-01,13.728146248418538,13.728146248418538,67,
2023-11-02,14.029519556792762,14.029519556792762,67,
2023-11-03,14.030567104905355,14.030567104905355,67,
2023-11-06,14.269486888284765,14.269486888284765,67,
2023-11-07,14.265578518703062,14.265578518703062,67,
2023-11-08,14.371182456829498,14.371182456829498,67,
2023-11-09,14.360123634506008,14.360123634506008,67,
2023-11-10,14.240622781418601,14.240622781418601,67,
2023-11-13,13.886653798280268,13.886653798280268,67,
2023-11-14,13.996785823088143,13.996785823088143,67,
2023-11-15,13.989431862263277,13.989431862263277,67,
2023-11-16,14.103512598478682,14.103512598478682,67,
2023-11-17,14.265540347404308,14.265540347404308,67,
2023-11-20,14.496377023546499,14.496377023546499,67,
2023-11-21,14.65436591675859,14.65436591675859,67,
2023-11-22,14.565953177945437,14.565953177945437,67,
2023-11-23,14.437703548432916,14.437703548432916,67,
2023-11-24,14.546451542269201,14.546451542269201,67,
2023-11-27,14.747102814318021,14.747102814318021,67,
2023-11-28,14.71645446785816,14.71645446785816,67,
2023-11-29,14.545445168101146,14.545445168101146,67,
2023-11-30,14.442426518756633,14.442426518756633,67,
2023-12-01,14.506262495303323,14.506262495303323,67,
2023-12-04,14.589148853958285,14.589148853958285,67,
2023-12-05,14.545402273085156,14.545402273085156,67,
2023-12-06,14.129681485527515,14.129681485527515,67,
2023-12-07,14.295269689101854,14.295269689101854,67,
2023-12-08,14.224159636851756,14.224159636851756,67,
2023-12-11,13.802175385147903,13.802175385147903,67,
2023-12-12,13.755948765057054,13.755948765057054,67,
2023-12-13,13.326291835956432,13.326291835956432,67,
2023-12-14,13.796678754267603,13.796678754267603,67,
2023-12-15,14.148208311823293,14.148208311823293,67,
2023-12-18,13.775693327396592,13.775693327396592,67,
2023-12-19,13.679496755781052,13.679496755781052,67,
2023-12-20,13.519999504165076,13.519999504165076,67,
2023-12-21,13.697258174877701,13.697258174877701,67,
2023-12-22,13.365280071610623,13.365280071610623,67,
2023-12-26,12.866461297874466,12.866461297874466,67,
2023-12-27,12.816799349637757,12.816799349637757,67,
