date,nav,outer_fold,architecture,cost_bps
2023-07-13,1.279791973840392,O2,LGBM_REGRESSION,30
2023-07-14,1.2949769282172185,O2,LGBM_REGRESSION,30
2023-07-17,1.32496562078968,O2,LGBM_REGRESSION,30
2023-07-18,1.2783188119519422,O2,LGBM_REGRESSION,30
2023-07-19,1.3411024825874875,O2,LGBM_REGRESSION,30
2023-07-20,1.3735911018758737,O2,LGBM_REGRESSION,30
2023-07-21,1.380149113343698,O2,LGBM_REGRESSION,30
2023-07-24,1.3614360991193926,O2,LGBM_REGRESSION,30
2023-07-25,1.324839220858338,O2,LGBM_REGRESSION,30
2023-07-26,1.3682371372146795,O2,LGBM_REGRESSION,30
2023-07-27,1.4013616716966557,O2,LGBM_REGRESSION,30
2023-07-28,1.4140510121859848,O2,LGBM_REGRESSION,30
2023-07-31,1.4433085785876225,O2,LGBM_REGRESSION,30
2023-08-01,1.4325802109473842,O2,LGBM_REGRESSION,30
2023-08-02,1.4382458142396444,O2,LGBM_REGRESSION,30
2023-08-03,1.42785284838415,O2,LGBM_REGRESSION,30
2023-08-04,1.4567731109972981,O2,LGBM_REGRESSION,30
2023-08-07,1.4889304754525263,O2,LGBM_REGRESSION,30
2023-08-08,1.4820299836334718,O2,LGBM_REGRESSION,30
2023-08-09,1.5051386099272661,O2,LGBM_REGRESSION,30
2023-08-10,1.4856936690516167,O2,LGBM_REGRESSION,30
2023-08-11,1.5436450330921772,O2,LGBM_REGRESSION,30
2023-08-14,1.525510546759696,O2,LGBM_REGRESSION,30
2023-08-15,1.5241501307517613,O2,LGBM_REGRESSION,30
2023-08-16,1.5133822495592208,O2,LGBM_REGRESSION,30
2023-08-17,1.533881522505468,O2,LGBM_REGRESSION,30
2023-08-18,1.4697451754192594,O2,LGBM_REGRESSION,30
2023-08-21,1.5232297110942365,O2,LGBM_REGRESSION,30
2023-08-22,1.5354187585622872,O2,LGBM_REGRESSION,30
2023-08-23,1.4932253727518492,O2,LGBM_REGRESSION,30
2023-08-24,1.4438145505891435,O2,LGBM_REGRESSION,30
2023-08-25,1.483655031125406,O2,LGBM_REGRESSION,30
2023-08-28,1.5259406781462856,O2,LGBM_REGRESSION,30
2023-08-29,1.5347516699289134,O2,LGBM_REGRESSION,30
2023-08-31,1.592786972460257,O2,LGBM_REGRESSION,30
2023-09-01,1.6400502242049888,O2,LGBM_REGRESSION,30
2023-09-04,1.6701116370056677,O2,LGBM_REGRESSION,30
2023-09-05,1.7047796329717577,O2,LGBM_REGRESSION,30
2023-09-06,1.7497825876641795,O2,LGBM_REGRESSION,30
2023-09-07,1.7873149772487205,O2,LGBM_REGRESSION,30
2023-09-08,1.7800119107396097,O2,LGBM_REGRESSION,30
2023-09-11,1.7495844385727637,O2,LGBM_REGRESSION,30
2023-09-12,1.7658962387348736,O2,LGBM_REGRESSION,30
2023-09-13,1.7663151498571446,O2,LGBM_REGRESSION,30
2023-09-14,1.802113640387899,O2,LGBM_REGRESSION,30
2023-09-15,1.7477692140122965,O2,LGBM_REGRESSION,30
2023-09-18,1.7176498120091004,O2,LGBM_REGRESSION,30
2023-09-19,1.7672334611521283,O2,LGBM_REGRESSION,30
2023-09-20,1.809435785596391,O2,LGBM_REGRESSION,30
2023-09-21,1.9087986086626647,O2,LGBM_REGRESSION,30
2023-09-22,1.9764297324139044,O2,LGBM_REGRESSION,30
2023-09-25,2.0949911513566835,O2,LGBM_REGRESSION,30
2023-09-26,1.990519192009153,O2,LGBM_REGRESSION,30
2023-09-27,1.9427024986347663,O2,LGBM_REGRESSION,30
2023-09-28,1.8865107154442,O2,LGBM_REGRESSION,30
2023-09-29,1.859036664006422,O2,LGBM_REGRESSION,30
2023-10-02,1.9092112951524876,O2,LGBM_REGRESSION,30
2023-10-03,1.9534930201672542,O2,LGBM_REGRESSION,30
