date,nav,cash_weight,holdings,outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct
2022-03-10,1.0323133731342302,1.4096412588539322e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-11,1.0396268803868989,1.3997247957797448e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-14,1.0699028686073513,1.3601155446296243e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-15,1.0702666006565849,1.3596533068900378e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-16,1.0804324841612591,1.3468602103039801e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-17,1.0980898575359854,1.325202589615028e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-18,1.0946185470927103,1.329405139992969e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-21,1.121211923311354,1.297873749450475e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-22,1.1386462898339509,1.278001373937552e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-23,1.1322584470306118,1.2852114520787873e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-24,1.132002876643882,1.2855016121080718e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-25,1.132760723823906,1.284641577194111e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
2022-03-28,1.1413487417315902,1.274975359966622e-16,15,O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1
