outer_fold,architecture,cost_bps,delay_sessions,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O2,LGBM_REGRESSION,100,0,0.8887443761166152,1.435804664983117,2.0758689746603785,-0.2760726616828235,-0.08848183312524405,180,1.3104620510779488,5.241848204311795,46,46,0,1.0,19047.06722777576,0.005306175075523772,10.0,0,0.00019466836660053013,0.0038188927271609195,0.008165677771414406,0.019555298793887357,0.0
O2,LGBM_REGRESSION,50,1,0.8597241630735242,1.3835702012201252,2.0815126359704905,-0.27077592441383136,-0.08871787412190979,180,1.3161707904676652,5.264683161870661,46,46,0,1.0,9337.769514177682,0.0026477034027118855,10.0,0,0.00020409967083288665,0.00396319381026324,0.00837001588973802,0.019575584273041163,0.0
O2,LGBM_REGRESSION,50,2,0.7678242965446838,1.220315740657179,2.2771697230984467,-0.2698276685179727,-0.0748790674945965,180,1.3128474556380538,5.251389822552215,46,46,0,1.0,8875.991347635656,0.002670254680946927,10.0,0,0.00020591378256668675,0.004115469926642068,0.008256160824578335,0.016490912460004857,0.0
O2,LAMBDAMART,0,0,0.5291096083130005,0.8122331238872262,1.3972865531552385,-0.29782860068127404,-0.09180983135413001,180,1.5000000000000004,6.000000000000002,50,50,0,1.0,0.0,0.0,10.0,0,0.0003132857257904292,0.0038368211834222295,0.0068020940886516735,0.019954386524374854,0.0
O2,LAMBDAMART,30,0,0.5027306130529412,0.7686161535192202,1.356263256844738,-0.3013534612292925,-0.09154248893419425,180,1.4945874059517197,5.978349623806879,50,50,0,1.0,4521.687308580872,0.001002051131400604,10.0,0,0.0003100712679346676,0.003813800256321696,0.006745105792926145,0.019834660205228602,0.0
O2,LAMBDAMART,50,0,0.4854187091807063,0.7401570507034358,1.328498534955312,-0.30367719010744687,-0.09136156923324823,180,1.4909610070102632,5.963844028041053,50,50,0,1.0,7464.092938954939,0.0016946553330209248,10.0,0,0.0003079468360739556,0.003798452971588007,0.006707383077636825,0.019754842659131102,0.0
O2,LAMBDAMART,100,0,0.44308201153317484,0.6711191590863217,1.2577855619636424,-0.3093941059542784,-0.09089981457296137,180,1.4818309931465696,5.9273239725862785,50,50,0,1.0,14574.013425553689,0.003513846237415045,10.0,0,0.0003026997360517207,0.003760084759753785,0.006614008092603612,0.019555298793887357,0.0
O2,LAMBDAMART,50,1,0.43872424964695167,0.6640584973442996,1.2511773243819722,-0.2983429088550045,-0.09114610811517143,180,1.490991770381563,5.963967081526252,50,50,0,1.0,7229.4369855872765,0.0017099726218363722,10.0,0,0.00031832139023237787,0.0038195195295816125,0.007411310473794298,0.019575584273041163,0.0
O2,LAMBDAMART,50,2,0.37448142815870966,0.5609695327329187,1.5010074053620663,-0.29818841526571827,-0.08771269505541035,180,1.4909515352266314,5.9638061409065255,50,50,0,1.0,6906.614504583481,0.0017535800974303988,10.0,0,0.00031112460155298974,0.0038499747528573784,0.006822984324369333,0.016490912460004857,0.0
O2,ENSEMBLE_50_50,0,0,0.9276466068573701,1.5063307671931998,2.041968614269581,-0.27898400610731355,-0.09118433615305754,180,1.326860669321141,5.307442677284564,46,46,0,1.0,0.0,1.425635011109777e-16,10.0,0,0.0001872773493054988,0.003195237373811659,0.00393433439468406,0.019954386524374854,0.0
O2,ENSEMBLE_50_50,30,0,0.8968407065272979,1.4504351049343742,2.0090171303675572,-0.2815237593583969,-0.09091600363845065,180,1.3218667255685268,5.287466902274107,46,46,0,1.0,5705.048463802168,0.0015377427685342561,10.0,0,0.00018591561345552784,0.0031722287133116476,0.003910728388315955,0.019834660205228602,0.0
O2,ENSEMBLE_50_50,50,0,0.876605819148746,1.413916716025406,1.9866557887291887,-0.28319403449392366,-0.09073442332196269,180,1.3185237344323602,5.274094937729441,46,46,0,1.0,9422.855161172969,0.0025878794422525163,10.0,0,0.0001850117005026898,0.0031569526428874392,0.0038949910507372195,0.019754842659131102,0.0
O2,ENSEMBLE_50_50,100,0,0.8270594406199381,1.325164841232834,1.9294542539559245,-0.2872891735688261,-0.0902710170452844,180,1.310117575324503,5.240470301298012,46,46,0,1.0,18424.725286273453,0.0053018890986300735,10.0,0,0.000182765442803752,0.003118980457427128,0.003855647706790379,0.019555298793887357,0.0
O2,ENSEMBLE_50_50,50,1,0.8253093098887985,1.3220472700993007,1.9181807680562089,-0.2859525380365119,-0.09054931497028795,180,1.3173939539006974,5.269575815602789,46,46,0,1.0,9164.935834256252,0.002613350827312131,10.0,0,0.00018484037945298566,0.002984665030883812,0.004052990235689257,0.019575584273041163,0.0
O2,ENSEMBLE_50_50,50,2,0.7010125659626085,1.1037325696076632,2.0864645536008926,-0.2884937584409575,-0.08940130892618892,180,1.3153936219552302,5.261574487820921,46,46,0,1.0,8540.55111355942,0.0026502512854843234,10.0,0,0.00018138217068620492,0.002859644104368395,0.004281404410257499,0.016490912460004857,0.0
O3,LGBM_REGRESSION,0,0,0.20680358229839246,0.3010417313968894,1.0582766411085316,-0.1754233143546733,-0.06470388826660944,180,1.3,5.2,46,46,0,1.0,0.0,1.2815851361270765e-16,10.0,0,0.00019314853326152898,0.0010107740965037968,0.0029755188144538545,0.009751771900243665,0.0
O3,LGBM_REGRESSION,30,0,0.18763827320493798,0.27220722837556677,0.995669725417528,-0.1750089720410375,-0.0646256398405185,180,1.295439678320104,5.181758713280416,46,46,0,1.0,3568.9060841041205,0.0016966541143279186,10.0,0,0.00019134468165779236,0.0009963946289135498,0.0029477298672909297,0.009693261268842204,0.0
O3,LGBM_REGRESSION,50,0,0.17505487670600872,0.2533760995327554,0.9534887730035005,-0.17472831309868808,-0.06457204097457891,180,1.2923804969494816,5.169521987797927,46,46,0,1.0,5891.605032183926,0.0028535414184434563,10.0,0,0.000190149785783757,0.0009869181432195133,0.0029293220901545052,0.00965425418124123,0.0
