outer_fold,architecture,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O2,FACTOR_COMPOSITE,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.20147613682432128,0.1757725680281615,1.0,0.6010650919271973,0.07919547592607004,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,VOL_SCALED,60,419,2020-12-09,3,180,0.20306315486925372,0.32408398438824876,0.6666666666666666,0.5773143868185461,0.09244606316643807,0.1303081026777675
O2,FACTOR_COMPOSITE,2022,RAW,20,777,2021-12-28,4,252,0.038726962590533445,0.0316946906148509,0.5,0.5363759437265461,-0.020911013406916857,0.13700755388416722
O2,FACTOR_COMPOSITE,2022,RAW,40,715,2021-11-02,3,186,0.13592851721060042,0.15702231598948382,1.0,0.5703654872974857,0.09473655327384628,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,RAW,60,659,2021-11-30,3,186,0.17622882021170175,0.16825705744844702,1.0,0.6135661174668571,0.2600199016318802,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,SECTOR_RELATIVE,20,777,2021-12-28,4,252,0.04291199518862818,0.041385890494684656,0.5,0.5348032664407825,-0.020911013406916857,0.13700755388416722
O2,FACTOR_COMPOSITE,2022,SECTOR_RELATIVE,40,715,2021-11-02,3,186,0.1184126610191048,0.13553707324210756,1.0,0.5466117488035447,0.09473655327384628,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,SECTOR_RELATIVE,60,659,2021-11-30,3,186,0.15380645525444495,0.18194039640487658,1.0,0.5946856811314407,0.2600199016318802,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,BETA_RESIDUAL,20,777,2021-12-28,4,252,0.028786544328354577,0.01627977591873414,0.5,0.532142352641214,-0.020911013406916857,0.13700755388416722
O2,FACTOR_COMPOSITE,2022,BETA_RESIDUAL,40,715,2021-11-02,3,186,0.10066897200665359,0.12401426148932476,1.0,0.5608958699125691,0.09473655327384628,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,BETA_RESIDUAL,60,659,2021-11-30,3,186,0.14047208390981225,0.11115512855113549,1.0,0.5984608313653105,0.2600199016318802,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,VOL_SCALED,20,777,2021-12-28,4,252,0.0558103091399345,0.029246569176799086,0.5,0.5485979666182355,-0.020911013406916857,0.13700755388416722
O2,FACTOR_COMPOSITE,2022,VOL_SCALED,40,715,2021-11-02,3,186,0.09561603103214787,0.10766494624395673,1.0,0.5528126655683785,0.09473655327384628,0.12982273567318545
O2,FACTOR_COMPOSITE,2022,VOL_SCALED,60,659,2021-11-30,3,186,0.15220275707031844,0.15199203431041877,1.0,0.6110188879875155,0.2600199016318802,0.12982273567318545
O2,RIDGE,2021,RAW,20,476,2020-10-13,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.017831079547365267,0.03319291113621646
O2,RIDGE,2021,RAW,40,475,2020-11-11,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.04493666872289163,0.03410108914261282
O2,RIDGE,2021,RAW,60,419,2020-12-09,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.033358495612913035,0.03983699511072624
O2,RIDGE,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.015316363353977694,-0.0013325141431304605,0.5,0.46125946550456004,0.01797358635235186,0.027197044388951194
O2,RIDGE,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.0415306316234155,0.001305936453813913,0.6666666666666666,0.42988932657227563,0.04485673148799787,0.037444876688165846
O2,RIDGE,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.05485859302084969,-0.06646382973452936,0.3333333333333333,0.4040228158373596,-0.004641303960282626,0.038248091638105365
O2,RIDGE,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.09097621203022349,0.15238865634719326,0.75,0.5062481425850311,0.018954533144995234,0.030976031596628536
O2,RIDGE,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.12144114105770125,0.1780494581828286,0.6666666666666666,0.47343826207165063,0.03475144955451175,0.032177935546960794
O2,RIDGE,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.06637028804297491,-0.22239510975270915,0.3333333333333333,0.44374476149055136,0.04367699326697378,0.038756117719000144
O2,RIDGE,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.09644143982647513,-0.08463462072798002,0.0,0.47582137102784156,-0.05230575092679274,0.02248183065997514
O2,RIDGE,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.22074650365842366,0.29352597943873304,0.6666666666666666,0.5783137776780648,0.045476439481984654,0.019368572381298608
O2,RIDGE,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.03252755395017135,-0.12258960822450683,0.3333333333333333,0.4333611844763278,0.01644997282639289,0.025754899448896643
O2,RIDGE,2022,RAW,20,777,2021-12-28,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,0.018050968855158632,0.03342194304540498
O2,RIDGE,2022,RAW,40,715,2021-11-02,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153,0.03827203458238374
O2,RIDGE,2022,RAW,60,659,2021-11-30,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,0.22067536345762306,0.02757822072160206
O2,RIDGE,2022,SECTOR_RELATIVE,20,777,2021-12-28,4,252,0.015223513276807689,-0.008171837602077972,0.5,0.5085283614995935,0.02128048417343384,0.0216548399714563
O2,RIDGE,2022,SECTOR_RELATIVE,40,715,2021-11-02,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536,0.03421408790058237
O2,RIDGE,2022,SECTOR_RELATIVE,60,659,2021-11-30,3,186,0.13083083736089757,0.10258748991706475,1.0,0.691232867890049,0.21698420346490357,0.024824083390667755
