observation_id,ticker,financial_period,field,xbrl_code,first_published_value_try,latest_recovered_value_try,published_comparative_value_try,local_stored_value_try,missing_official,missing_local,local_basis_classification
ASELS.IS:2024Q3,ASELS.IS,2024Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-14775957000.0,-14775957000.0,-13501948000.0,,False,True,UNKNOWN
ASELS.IS:2024Q3,ASELS.IS,2024Q3,fcf,DERIVED_CFO_PLUS_INVESTING_CF,-13872527000.0,-13872527000.0,,-18491247000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2022Q3,LOGO.IS,2022Q3,revenue,ifrs-full_Revenue,1019620479.0,1019620479.0,486195920.0,1019620000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2022Q3,LOGO.IS,2022Q3,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,300635303.0,300635303.0,159230402.0,308081000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2022Q3,LOGO.IS,2022Q3,ebitda,,,,,393641000.0,True,False,UNKNOWN
LOGO.IS:2022Q3,LOGO.IS,2022Q3,net_income,ifrs-full_ProfitLoss,357499950.0,357499950.0,164738175.0,357501000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2022Q3,LOGO.IS,2022Q3,equity,ifrs-full_Equity,1095361927.0,1095361927.0,833505390.0,1095361927.0,False,False,MATCHES_FIRST_AND_LATEST
LOGO.IS:2022Q3,LOGO.IS,2022Q3,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,439289592.0,439289592.0,118374036.0,439289000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2022Q3,LOGO.IS,2022Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-246575283.0,-246575283.0,-67390271.0,,False,True,UNKNOWN
LOGO.IS:2022Q3,LOGO.IS,2022Q3,fcf,DERIVED_CFO_PLUS_INVESTING_CF,192714309.0,192714309.0,,192714000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2023Q4,LOGO.IS,2023Q4,revenue,ifrs-full_Revenue,2975328000.0,2975328000.0,2887365000.0,3135800000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2023Q4,LOGO.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,294316000.0,294316000.0,710231000.0,488274000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2023Q4,LOGO.IS,2023Q4,ebitda,,,,,900491000.0,True,False,UNKNOWN
LOGO.IS:2023Q4,LOGO.IS,2023Q4,net_income,ifrs-full_ProfitLoss,130053000.0,130053000.0,332669000.0,187766000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2023Q4,LOGO.IS,2023Q4,equity,ifrs-full_Equity,2302745000.0,2302745000.0,2445865000.0,3324674000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
LOGO.IS:2023Q4,LOGO.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,132432000.0,132432000.0,175119000.0,976969000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
