ticker,financial_period,availability_proxy_date,historical_capital_available,fallback_capital_source_date,fallback_capital,market_cap_source,future_last_capital_fallback,affected_fields
SDTTR.IS,2022Q2,2022-08-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SDTTR.IS,2022Q3,2022-11-15,False,2026-09-07,638000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SOKM.IS,2018Q1,2018-05-15,False,2026-09-07,593290008.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2022Q2,2022-08-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2022Q3,2022-11-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2022Q4,2023-03-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2023Q1,2023-05-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2023Q2,2023-08-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
SURGY.IS,2023Q3,2023-11-15,False,2026-09-07,167500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2020Q4,2021-03-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2021Q4,2022-03-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2022Q2,2022-08-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2022Q3,2022-11-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2022Q4,2023-03-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2023Q1,2023-05-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TABGD.IS,2023Q2,2023-08-15,False,2026-09-07,261292000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2019Q4,2020-03-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2020Q4,2021-03-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2021Q3,2021-11-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2021Q4,2022-03-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2022Q1,2022-05-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2022Q2,2022-08-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TERA.IS,2022Q3,2022-11-15,False,2026-09-07,700000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
TUREX.IS,2018Q4,2019-03-15,False,2026-09-07,1080000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
