outer_fold,inner_year,candidate,target_family,horizon_sessions,univariate_ic_mean,univariate_ic_median,univariate_ic_std,univariate_positive_ratio,univariate_icir,univariate_dates
O3,2023,ret_10,VOL_SCALED,60,0.10066443924065212,0.15403402567581673,0.24344203890335767,0.6666666666666666,0.41350474919664215,3
O3,2022,ret_20,VOL_SCALED,60,0.0780685349247181,0.04651497695852535,0.15063744081567398,0.6666666666666666,0.5182545222621373,3
O3,2023,ret_20,VOL_SCALED,60,0.08094833572703947,0.08877987683957834,0.20526484528118114,0.6666666666666666,0.39436044499559947,3
O3,2022,vol_20,VOL_SCALED,60,-0.01596526517791609,-0.058755760368663604,0.08304154726170065,0.3333333333333333,-0.192256354853342,3
O3,2023,vol_20,VOL_SCALED,60,-0.030812606701721378,-0.10309988518943745,0.14428371657196074,0.3333333333333333,-0.21355567650874696,3
O3,2022,vol_63_rank,VOL_SCALED,60,-0.09802936029195115,-0.03249807987711214,0.17000018601916922,0.3333333333333333,-0.5766426648550689,3
O3,2023,vol_63_rank,VOL_SCALED,60,-0.17176276050394548,-0.1884600614439324,0.04277795743196531,0.0,-4.015216499691915,3
O3,2022,vol_126,VOL_SCALED,60,-0.07990533778157356,-0.13882488479262672,0.11720643789003819,0.3333333333333333,-0.6817487095422171,3
O3,2023,vol_126,VOL_SCALED,60,-0.14188896699198608,-0.11395929339477727,0.08490479029560488,0.0,-1.6711538477155983,3
O3,2022,downside_vol_63,VOL_SCALED,60,-0.2702137544749516,-0.1914976382328425,0.20117807391383966,0.0,-1.3431570807794815,3
O3,2023,downside_vol_63,VOL_SCALED,60,-0.07605357197989389,-0.08057307047649455,0.04908453138661873,0.0,-1.549440726669082,3
O3,2022,downside_vol_126,VOL_SCALED,60,-0.1931801199044452,-0.22100614439324118,0.05893932475805802,0.0,-3.277609994641721,3
O3,2023,downside_vol_126,VOL_SCALED,60,-0.08500738983105376,-0.03057795698924731,0.13815154495575688,0.3333333333333333,-0.6153198638370453,3
O3,2022,max_drawdown_63,VOL_SCALED,60,0.22864792938301262,0.1694508448540707,0.1187672430773893,1.0,1.925176702418061,3
O3,2023,max_drawdown_63,VOL_SCALED,60,0.029311525187045606,-0.0015962965919067765,0.1490983126772905,0.3333333333333333,0.19659193092605742,3
O3,2022,log_adv20,VOL_SCALED,60,0.00748940224477784,-0.012480798771121354,0.0927381274707228,0.3333333333333333,0.08075860974378879,3
O3,2023,log_adv20,VOL_SCALED,60,-0.23137135298783182,-0.142678217305083,0.19301349281389982,0.0,-1.1987314959939923,3
O3,2022,log_adv63,VOL_SCALED,60,-0.007276393446891074,-0.027169738863287253,0.1345858802619991,0.3333333333333333,-0.05406505818237454,3
O3,2023,log_adv63,VOL_SCALED,60,-0.2460617869162787,-0.16459659743241836,0.2086916347935955,0.0,-1.1790687593187135,3
O3,2022,log_amihud20,VOL_SCALED,60,-0.03803934788308808,-0.057699692780337944,0.04996863761432697,0.3333333333333333,-0.7612644590530415,3
O3,2023,log_amihud20,VOL_SCALED,60,0.2244896486651422,0.11280721966205837,0.2264392467851996,1.0,0.9913901934062394,3
O3,2022,log_amihud63,VOL_SCALED,60,-0.007960110669644685,-0.038834485407066056,0.06199711635464948,0.3333333333333333,-0.12839485346559534,3
O3,2023,log_amihud63,VOL_SCALED,60,0.1212886504467617,0.08568548387096775,0.3366641966132274,0.6666666666666666,0.3602659613552632,3
O3,2022,zero_return_ratio20,VOL_SCALED,60,0.1389295197716773,0.10768173868496879,0.12614619163893562,1.0,1.1013374083407212,3
O3,2023,zero_return_ratio20,VOL_SCALED,60,0.04678586819828667,0.12860340688838157,0.15723673123236773,0.6666666666666666,0.29755050128297017,3
O3,2022,zero_return_ratio63,VOL_SCALED,60,0.22706653479993588,0.2363509222715177,0.020806341381686824,1.0,10.913333134089287,3
O3,2023,zero_return_ratio63,VOL_SCALED,60,0.046250117112576004,0.09351490820118923,0.11736146769806415,0.6666666666666666,0.39408264074852645,3
O3,2022,volume_cv63,VOL_SCALED,60,-0.01618924039035136,-0.019585253456221197,0.04498480939690718,0.3333333333333333,-0.3598823826841514,3
O3,2023,volume_cv63,VOL_SCALED,60,0.11300251393057055,0.09875795845945103,0.1947765909300853,0.6666666666666666,0.5801647589731797,3
O4,2023,mom_20,VOL_SCALED,20,-0.13705282460867085,-0.23266759579314455,0.23718760555744947,0.25,-0.5778245633306296,4
O4,2024,mom_20,VOL_SCALED,20,0.061740199221946214,0.03161415657765059,0.23745696740118105,0.5,0.260005843996301,4
O4,2023,mom_40,VOL_SCALED,20,-0.17244198672950906,-0.26732452675997526,0.24114943517040938,0.25,-0.7150835190953365,4
O4,2024,mom_40,VOL_SCALED,20,0.038136004552071244,0.00556651030335241,0.22563690068585396,0.5,0.16901492812634675,4
O4,2023,mom_63_rank,VOL_SCALED,20,-0.20567314216224553,-0.25163681796693216,0.17531336147116386,0.25,-1.1731743686637104,4
O4,2024,mom_63_rank,VOL_SCALED,20,-0.006763480532634751,-0.009108913845755948,0.1692627921018062,0.5,-0.03995846014738273,4
O4,2023,mom_126,VOL_SCALED,20,-0.17394044353375723,-0.20263757313801217,0.1823742797069521,0.25,-0.9537553421088392,4
O4,2024,mom_126,VOL_SCALED,20,-0.03264359665270539,-0.09078022972759815,0.21444501222223286,0.25,-0.1522236228039489,4
O4,2023,mom_252,VOL_SCALED,20,-0.12607808564562686,-0.13139516322132655,0.17806998588421757,0.25,-0.7080254711066455,4
O4,2024,mom_252,VOL_SCALED,20,-0.07363276542176184,-0.10891560196727901,0.09029591145793385,0.25,-0.8154606806983186,4
O4,2023,mom_126_skip20,VOL_SCALED,20,-0.11587154708791544,-0.15804852710988543,0.14399319741043753,0.25,-0.8047015357096053,4
O4,2024,mom_126_skip20,VOL_SCALED,20,-0.07706720168690985,-0.11654504812399549,0.1727323148210685,0.25,-0.446165512033709,4
O4,2023,mom_252_skip20,VOL_SCALED,20,-0.0643647190632821,-0.10250342282826921,0.1640796217360992,0.25,-0.3922773491445782,4
O4,2024,mom_252_skip20,VOL_SCALED,20,-0.10724424656047674,-0.13710565245765138,0.10111162647415696,0.25,-1.0606519774250414,4
O4,2023,positive_return_ratio_63,VOL_SCALED,20,-0.012527490848804078,-0.12243842444552751,0.2777334667700767,0.25,-0.04510616237392462,4
O4,2024,positive_return_ratio_63,VOL_SCALED,20,0.004903806447857883,-0.030672733751880114,0.134924317421977,0.25,0.03634486756394835,4
O4,2023,sign_consistency_4x20,VOL_SCALED,20,-0.0009650676566030532,-0.02267598204555099,0.1586118010329814,0.5,-0.006084463137786192,4
O4,2024,sign_consistency_4x20,VOL_SCALED,20,-0.02422773239150413,-0.07722008922538437,0.17282739148172047,0.25,-0.14018456324422762,4
O4,2023,ret_5,VOL_SCALED,20,-0.12786601981441942,-0.16701386579213992,0.21082510933072574,0.25,-0.6065028032967047,4
O4,2024,ret_5,VOL_SCALED,20,-0.045936667880472015,-0.04698091665799862,0.07834404672603523,0.25,-0.586345354882037,4
O4,2023,ret_10,VOL_SCALED,20,-0.0861634953498926,-0.2042830065890759,0.28044105231129013,0.25,-0.30724280428904877,4
O4,2024,ret_10,VOL_SCALED,20,0.05560649827590329,0.043951127109021826,0.19754140907844042,0.5,0.2814928704584813,4
O4,2023,ret_20,VOL_SCALED,20,-0.13705282460867085,-0.23266759579314455,0.23718760555744947,0.25,-0.5778245633306296,4
O4,2024,ret_20,VOL_SCALED,20,0.061740199221946214,0.03161415657765059,0.23745696740118105,0.5,0.260005843996301,4
O4,2023,vol_20,VOL_SCALED,20,-0.031097610633015915,-0.009735696594040078,0.18682408341742257,0.5,-0.1664539713733495,4
O4,2024,vol_20,VOL_SCALED,20,-0.10774627896742704,-0.09445415110697361,0.22764870928089348,0.25,-0.47330063635230185,4
O4,2023,vol_63_rank,VOL_SCALED,20,-0.08666922075830749,-0.17192602601289128,0.2520101698204588,0.25,-0.3439116001550802,4
O4,2024,vol_63_rank,VOL_SCALED,20,-0.09534586465032156,-0.11567039217404278,0.39357984137797597,0.25,-0.24225291701044155,4
O4,2023,vol_126,VOL_SCALED,20,-0.054118045508165596,-0.15798927900481333,0.32344809439932515,0.25,-0.16731601281704292,4
O4,2024,vol_126,VOL_SCALED,20,-0.06403262853906151,-0.06078218453189258,0.3731044968950551,0.25,-0.17162116530874266,4
O4,2023,downside_vol_63,VOL_SCALED,20,0.013826783259505801,-0.04946505673657392,0.2643251521214809,0.5,0.05230975239598525,4
O4,2024,downside_vol_63,VOL_SCALED,20,-0.107098762656304,-0.07837960212626377,0.4118291505926438,0.5,-0.26005629398060637,4
O4,2023,downside_vol_126,VOL_SCALED,20,0.017314787671451344,-0.04855896570340836,0.25274737857384894,0.5,0.06850629972564573,4
O4,2024,downside_vol_126,VOL_SCALED,20,-0.03840542912062148,-0.008361356107530325,0.3974869490412882,0.5,-0.09662060405568736,4
O4,2023,max_drawdown_63,VOL_SCALED,20,-0.1399728457109366,-0.09472770484304371,0.17445288666641703,0.25,-0.8023532793618255,4
O4,2024,max_drawdown_63,VOL_SCALED,20,0.06325185442639264,0.0014823717261849834,0.3087026288574296,0.5,0.20489574274278274,4
O4,2023,log_adv20,VOL_SCALED,20,-0.04878185271755256,0.062433001590157,0.27247152989635215,0.75,-0.17903467836110848,4
O4,2024,log_adv20,VOL_SCALED,20,-0.03489667483310667,-0.08445906801614227,0.24460244487986205,0.25,-0.14266690936080537,4
O4,2023,log_adv63,VOL_SCALED,20,-0.046669978662618655,0.07968221418616503,0.27884225485258907,0.75,-0.16737053961671233,4
O4,2024,log_adv63,VOL_SCALED,20,-0.044279677344860074,-0.07267030774804162,0.2004541978865296,0.25,-0.2208967325789072,4
O4,2023,log_amihud20,VOL_SCALED,20,0.056381781941660464,-0.06654045080260776,0.280144972894411,0.25,0.20125930284999702,4
