outer_fold,target_family,inner_selected_horizon,selected_family_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O4,RAW,20,False,0,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.07007894897024636,-0.1804508781504911,-0.5604932701737395,-2.0521525735082604,-0.22515830714963447,61,0.9999999999999999,0.9999999999999999,0,0
O4,RAW,20,False,30,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.07007894897024636,-0.1834508781504911,-0.5671016190585265,-2.082592602287342,-0.22582698927393752,61,0.9999999999999999,0.9999999999999999,0,0
O4,RAW,20,False,50,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.07007894897024636,-0.1854508781504911,-0.5714651564565106,-2.1024252790814972,-0.2262749882596038,61,0.9999999999999999,0.9999999999999999,0,0
O4,RAW,20,False,100,1591,2025-01-01,2025-05-30,2,165,-0.20329881124171634,-0.20329881124171634,0.0,0.43742251689330314,-0.07007894897024636,-0.1904508781504911,-0.582228176083157,-2.150381771239083,-0.2274028010215201,61,0.9999999999999999,0.9999999999999999,0,0
O4,SECTOR_RELATIVE,20,False,0,1591,2025-01-01,2025-05-30,2,165,-0.22966817547258317,-0.22966817547258317,0.0,0.44197474230098677,-0.12780605448547966,-0.16054236273804445,-0.5146804726927685,-1.7816766555189956,-0.23064505987066797,61,0.9999999999999999,0.9999999999999999,0,0
O4,SECTOR_RELATIVE,20,False,30,1591,2025-01-01,2025-05-30,2,165,-0.22966817547258317,-0.22966817547258317,0.0,0.44197474230098677,-0.12780605448547966,-0.16354236273804434,-0.5218055644443531,-1.8129847912888564,-0.23132959580926615,61,0.9999999999999999,0.9999999999999999,0,0
O4,SECTOR_RELATIVE,20,False,50,1591,2025-01-01,2025-05-30,2,165,-0.22966817547258317,-0.22966817547258317,0.0,0.44197474230098677,-0.12780605448547966,-0.16554236273804435,-0.5265113840543452,-1.8334383600773052,-0.23178821496308544,61,0.9999999999999999,0.9999999999999999,0,0
O4,SECTOR_RELATIVE,20,False,100,1591,2025-01-01,2025-05-30,2,165,-0.22966817547258317,-0.22966817547258317,0.0,0.44197474230098677,-0.12780605448547966,-0.17054236273804446,-0.5381223989077494,-1.883085504363271,-0.23294275822734922,61,0.9999999999999999,0.9999999999999999,0,0
O4,BETA_RESIDUAL,20,False,0,1591,2025-01-01,2025-05-30,2,165,-0.2317903865089262,-0.2317903865089262,0.0,0.4504557475029721,-0.08094793249933177,-0.16054236273804445,-0.5146804726927685,-1.7816766555189956,-0.23064505987066797,61,0.9999999999999999,0.9999999999999999,0,0
O4,BETA_RESIDUAL,20,False,30,1591,2025-01-01,2025-05-30,2,165,-0.2317903865089262,-0.2317903865089262,0.0,0.4504557475029721,-0.08094793249933177,-0.16354236273804434,-0.5218055644443531,-1.8129847912888564,-0.23132959580926615,61,0.9999999999999999,0.9999999999999999,0,0
O4,BETA_RESIDUAL,20,False,50,1591,2025-01-01,2025-05-30,2,165,-0.2317903865089262,-0.2317903865089262,0.0,0.4504557475029721,-0.08094793249933177,-0.16554236273804435,-0.5265113840543452,-1.8334383600773052,-0.23178821496308544,61,0.9999999999999999,0.9999999999999999,0,0
O4,BETA_RESIDUAL,20,False,100,1591,2025-01-01,2025-05-30,2,165,-0.2317903865089262,-0.2317903865089262,0.0,0.4504557475029721,-0.08094793249933177,-0.17054236273804446,-0.5381223989077494,-1.883085504363271,-0.23294275822734922,61,0.9999999999999999,0.9999999999999999,0,0
O4,VOL_SCALED,20,True,0,1591,2025-01-01,2025-05-30,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,-0.0794561390848374,-0.2896662218390904,-0.8680855025786688,-0.1351046408514076,61,0.9999999999999999,0.9999999999999999,0,0
O4,VOL_SCALED,20,True,30,1591,2025-01-01,2025-05-30,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,-0.08245613908483729,-0.2991808889897716,-0.9007763170521886,-0.1381046408514076,61,0.9999999999999999,0.9999999999999999,0,0
O4,VOL_SCALED,20,True,50,1591,2025-01-01,2025-05-30,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,-0.08445613908483729,-0.30547011970906146,-0.9221744366985873,-0.1401046408514076,61,0.9999999999999999,0.9999999999999999,0,0
O4,VOL_SCALED,20,True,100,1591,2025-01-01,2025-05-30,2,165,-0.3517703333409427,-0.3517703333409427,0.0,0.361395929941149,-0.19536617705309223,-0.0894561390848374,-0.3210060702243328,-0.9742624084162486,-0.14510464085140762,61,0.9999999999999999,0.9999999999999999,0,0
